name,category,media_anchor,design_summary
Shell 命令行,code,CRT 绿色终端屏幕,深绿色黑底(#0a0e07)，像素字体，$ 前缀伪元素，光标闪烁动画，顶部 hostname 栏，红色 exit code 尾部标签
汇编语言,code,8086 调试器内存视图,十六进制深色终端(#0d1117)，等宽字体，左边地址列伪元素，MOV/ADD 指令高亮，寄存器状态栏底部
Python 脚本,code,PyCharm 浅色编辑器,白色底(#fafbfc)，缩进引导线，蓝色 def 关键字，绿色字符串，`>>>` 前缀 REPL 提示符
TypeScript 接口,code,VS Code 浅色主题,白色底(#ffffff)，interface/type 品红色高亮，属性缩进，? 可选标记，左侧行号列
JSON 数据,tech,API 测试工具,白色底(#ffffff)，花括号/方括号灰色，键名蓝色，字符串值绿色，缩进引导线，格式化排版
CSV 表格,tech,Excel 表格视图,白色底(#fafafa)，浅灰网格线，表头深灰背景，逗号分隔淡化，单元格等宽对齐
YAML 配置,tech,IDE 配置文件,深色编辑器底(#1e2430)，缩进层级彩色竖线，键名蓝色，冒号分隔，列表项短横前缀
INI 配置,tech,Windows 注册表风格,浅灰底(#f0f0f0)，[Section] 蓝色粗体，key=value 对齐，分号注释斜体灰色
Dockerfile,tech,Docker 构建日志,深蓝黑底(#0d1f2d)，FROM/RUN/COPY 指令彩色高亮，层哈希短码，构建步骤编号
Nginx 配置,tech,服务器终端配置,深灰底(#1a1b1f)，server/location 块缩进竖线，分号结尾标记，注释灰色斜体
Makefile,tech,构建终端输出,米白底(#f5f2e8)，target: 粗体，Tab 缩进制表符标记，命令灰色，编译成功绿勾
Git 提交日志,tech,GitHub 深色界面,深灰底(#0d1117)，commit hash 短码橙色前缀，feat/fix 彩色标签，分支图竖线
系统日志,tech,Linux /var/log 视图,纯黑底(#000000)，时间戳灰色，hostname 绿色，日志级别[ERROR]红色前缀
API 响应,tech,Postman 响应面板,白色底(#ffffff)，200 OK 绿色状态码，JSON body 格式化，headers 表格，响应时间
TCP 数据包,tech,Wireshark 抓包视图,深蓝灰底(#1a2330)，十六进制 dump 分区，源/目标 IP 表格行，协议彩色标签
会议纪要,work,A4 打印会议记录,白色底(#ffffff)，标题居中加粗，时间地点表格框，议题编号 1. 2. 3.，决议加框高亮
新闻报道,work,报纸新闻版面,浅灰纸底(#f7f6f2)，标题大号黑色粗体，导语斜体，正文分栏，倒金字塔结构，byline 署名
法律判决书,work,法院判决书正本,米黄公文纸(#faf6ee)，红色国徽顶部，法院名称居中，原告被告并列，「判决如下」加粗
收据,work,热敏收据纸,窄幅白底(#f8f6f1)，顶部虚线撕口，商品条目左对齐金额右对齐，底部 THANK YOU
请假条,work,手写请假条,横格笔记本纸(#f5f0e5)，蓝色横线，称呼顶格，正文缩进，「此致 敬礼」落款，日期居右
求职简历,work,LinkedIn 风格简历卡,白色底(#ffffff)，姓名大号粗体，联系信息灰色小字，经历时间线左竖线，技能标签圆角块
招聘启事,work,招聘网站职位卡,白色底(#ffffff)，职位名粗体蓝色，公司名灰色，薪资标签，JD 列表 bullet，投递按钮
餐厅菜单,life,精装菜单本,深红皮革底(#4a1a1a)，烫金标题，前菜/主菜/甜点分区，价格右对齐，分隔花边
